Rank 	 Pose Confidence

1 	 0.4894239008426666
2 	 0.16608619689941406
3 	 0.1612498164176941
4 	 0.09869726747274399
5 	 0.07852593809366226
6 	 -0.1279420256614685
7 	 -0.3932805359363556
8 	 -0.5298920273780823
9 	 -0.5473552942276001
10 	 -0.5793855786323547
11 	 -0.6501122117042542
12 	 -0.6701964735984802
13 	 -0.6850950121879578
14 	 -0.6995751857757568
15 	 -0.7059087157249451
16 	 -0.7407498955726624
17 	 -0.9320884346961975
18 	 -0.9864735007286072
19 	 -1.7003135681152344
20 	 -2.0113372802734375
