Rank 	 Pose Confidence

1 	 -0.0994936153292656
2 	 -0.21044287085533142
3 	 -0.22253453731536865
4 	 -0.23184433579444885
5 	 -0.4496431350708008
6 	 -0.4792875349521637
7 	 -0.4926835894584656
8 	 -0.4993956983089447
9 	 -0.5872343182563782
10 	 -0.6546971797943115
11 	 -1.0503956079483032
12 	 -1.0957456827163696
13 	 -1.1224994659423828
14 	 -1.4096157550811768
15 	 -1.475927710533142
16 	 -1.6904851198196411
17 	 -1.6920135021209717
18 	 -1.8898488283157349
19 	 -1.9221404790878296
20 	 -3.5006096363067627
