Rank 	 Pose Confidence

1 	 0.4284844696521759
2 	 0.3747155964374542
3 	 0.34278547763824463
4 	 0.3229340612888336
5 	 0.3055501878261566
6 	 0.2946155071258545
7 	 0.2835547626018524
8 	 0.2750943899154663
9 	 0.2617897093296051
10 	 0.2544407546520233
11 	 0.1716393530368805
12 	 -0.13051390647888184
13 	 -0.13319182395935059
14 	 -0.15818676352500916
15 	 -0.23271271586418152
16 	 -0.2767789959907532
17 	 -0.33088621497154236
18 	 -0.5001015067100525
19 	 -0.6150676608085632
20 	 -0.9087746739387512
