Rank 	 Pose Confidence

1 	 0.13957861065864563
2 	 0.1027430072426796
3 	 -0.24180519580841064
4 	 -0.30635276436805725
5 	 -0.3659352958202362
6 	 -0.3702523410320282
7 	 -0.4546416103839874
8 	 -0.45986852049827576
9 	 -0.4931762218475342
10 	 -0.6503683924674988
11 	 -0.7033203840255737
12 	 -0.712321937084198
13 	 -0.7788782119750977
14 	 -0.9985372424125671
15 	 -1.0253689289093018
16 	 -1.1585469245910645
17 	 -1.5205936431884766
18 	 -1.5594576597213745
19 	 -1.6551952362060547
20 	 -1.9756258726119995
