Rank 	 Pose Confidence

1 	 0.942954957485199
2 	 0.4325512945652008
3 	 0.16937857866287231
4 	 0.09780076891183853
5 	 0.06657370179891586
6 	 0.057230107486248016
7 	 -0.0023473426699638367
8 	 -0.057859696447849274
9 	 -0.07385723292827606
10 	 -0.1427852213382721
11 	 -0.2751142680644989
12 	 -0.2920292019844055
13 	 -0.3574320375919342
14 	 -0.8349555134773254
15 	 -1.0289450883865356
16 	 -1.081958532333374
17 	 -1.0866910219192505
18 	 -1.4945567846298218
19 	 -1.5570238828659058
20 	 -2.014596700668335
