Rank 	 Pose Confidence

1 	 0.8280373215675354
2 	 0.6937585473060608
3 	 0.6094180941581726
4 	 0.23943418264389038
5 	 0.21702897548675537
6 	 -0.03060489147901535
7 	 -0.2702922821044922
8 	 -0.35831794142723083
9 	 -0.4522615075111389
10 	 -0.5353997945785522
11 	 -0.9005802273750305
12 	 -1.3073614835739136
13 	 -1.3099479675292969
14 	 -1.3364847898483276
15 	 -1.3560916185379028
16 	 -1.5222539901733398
17 	 -2.047696828842163
18 	 -2.16652774810791
19 	 -3.2190394401550293
20 	 -4.22096061706543
