Rank 	 Pose Confidence

1 	 0.36105775833129883
2 	 0.280025452375412
3 	 0.27126482129096985
4 	 0.2664792537689209
5 	 0.2567094564437866
6 	 0.24366843700408936
7 	 0.1891728639602661
8 	 0.1793057918548584
9 	 0.17650169134140015
10 	 0.1678430736064911
11 	 0.12369691580533981
12 	 0.11666598170995712
13 	 0.06678230315446854
14 	 0.04803616553544998
15 	 -0.017163656651973724
16 	 -0.20688369870185852
17 	 -0.26143917441368103
18 	 -0.29615476727485657
19 	 -0.4144427478313446
20 	 -0.6031039357185364
