Rank 	 Pose Confidence

1 	 0.8196274638175964
2 	 0.6887730360031128
3 	 0.5811291337013245
4 	 0.547771155834198
5 	 0.5048396587371826
6 	 0.49895599484443665
7 	 0.4841831624507904
8 	 0.41760286688804626
9 	 0.34900611639022827
10 	 0.3086223602294922
11 	 0.23566317558288574
12 	 0.18992161750793457
13 	 0.07834797352552414
14 	 -0.12547728419303894
15 	 -0.757240355014801
16 	 -0.9245027899742126
17 	 -1.3855843544006348
18 	 -1.4510599374771118
19 	 -1.497867226600647
20 	 -1.985040545463562
