Rank 	 Pose Confidence

1 	 0.5807633399963379
2 	 0.5717567205429077
3 	 0.52671879529953
4 	 0.5164470076560974
5 	 0.3815227746963501
6 	 0.14836594462394714
7 	 0.14288148283958435
8 	 0.046586520969867706
9 	 -0.2598882019519806
10 	 -0.35613587498664856
11 	 -0.3900144100189209
12 	 -0.4233987629413605
13 	 -0.4957667589187622
14 	 -0.5037411451339722
15 	 -0.6010369658470154
16 	 -0.6954432725906372
17 	 -0.8441229462623596
18 	 -0.9306115508079529
19 	 -1.1484400033950806
20 	 -1.5109800100326538
