Rank 	 Pose Confidence

1 	 0.8517757654190063
2 	 0.2371881902217865
3 	 0.0759265199303627
4 	 -1.0027425289154053
5 	 -1.3657112121582031
6 	 -1.592464804649353
7 	 -1.7310267686843872
8 	 -1.7360769510269165
9 	 -1.924378752708435
10 	 -2.0138099193573
11 	 -2.0993268489837646
12 	 -2.154559850692749
13 	 -2.4743142127990723
14 	 -2.4859721660614014
15 	 -2.707951068878174
16 	 -2.7573134899139404
17 	 -2.922238349914551
18 	 -3.231360912322998
19 	 -3.2591347694396973
20 	 -3.6293821334838867
