Rank 	 Pose Confidence

1 	 0.6736871600151062
2 	 0.3972327411174774
3 	 0.3080469071865082
4 	 -0.40281686186790466
5 	 -0.44831204414367676
6 	 -0.6111692190170288
7 	 -0.6310575604438782
8 	 -0.6714937090873718
9 	 -0.6766996383666992
10 	 -0.6886952519416809
11 	 -0.705944836139679
12 	 -0.9333910942077637
13 	 -1.3294317722320557
14 	 -1.3602006435394287
15 	 -1.535396695137024
16 	 -1.6681994199752808
17 	 -1.7335095405578613
18 	 -1.873437762260437
19 	 -2.065396308898926
20 	 -2.1432077884674072
