Rank 	 Pose Confidence

1 	 0.4683590233325958
2 	 0.4525671899318695
3 	 0.42449751496315
4 	 0.38499587774276733
5 	 0.3640834391117096
6 	 0.3578951954841614
7 	 0.3508793115615845
8 	 0.34035149216651917
9 	 0.3198683559894562
10 	 0.31656208634376526
11 	 0.3157888948917389
12 	 0.2588917016983032
13 	 0.2531003952026367
14 	 0.24530255794525146
15 	 0.19056883454322815
16 	 0.13152632117271423
17 	 0.09875685721635818
18 	 0.06830958276987076
19 	 0.03589380532503128
20 	 -0.1928609013557434
