Rank 	 Pose Confidence

1 	 0.06718691438436508
2 	 -0.10296761244535446
3 	 -0.1407928317785263
4 	 -0.15296007692813873
5 	 -0.18782752752304077
6 	 -0.18988561630249023
7 	 -0.23093274235725403
8 	 -0.2457849085330963
9 	 -0.27883657813072205
10 	 -0.29709088802337646
11 	 -0.3046778738498688
12 	 -0.3080080449581146
13 	 -0.310212641954422
14 	 -0.31715840101242065
15 	 -0.32289376854896545
16 	 -0.32464325428009033
17 	 -0.3323041498661041
18 	 -0.3577252924442291
19 	 -0.369217187166214
20 	 -2.801159381866455
