Rank 	 Pose Confidence

1 	 0.8425362706184387
2 	 0.5637869834899902
3 	 0.4293545186519623
4 	 0.406424343585968
5 	 -0.027776040136814117
6 	 -0.034027136862277985
7 	 -0.07622475922107697
8 	 -0.21223333477973938
9 	 -0.3335963785648346
10 	 -0.47864028811454773
11 	 -0.4904133379459381
12 	 -0.5469126105308533
13 	 -0.6185880303382874
14 	 -0.6918885111808777
15 	 -0.7434934973716736
16 	 -0.7566784620285034
17 	 -1.0439847707748413
18 	 -1.9622094631195068
19 	 -2.7080743312835693
20 	 -3.565798282623291
