Rank 	 Pose Confidence

1 	 0.8503725528717041
2 	 0.4535684883594513
3 	 0.39252641797065735
4 	 0.36707210540771484
5 	 0.30605432391166687
6 	 0.250749409198761
7 	 -0.1923603117465973
8 	 -0.3052119016647339
9 	 -0.32522472739219666
10 	 -0.5275588631629944
11 	 -0.5931733846664429
12 	 -0.6640172004699707
13 	 -0.7487013936042786
14 	 -0.8182487487792969
15 	 -0.860783040523529
16 	 -0.9082315564155579
17 	 -1.8335200548171997
18 	 -2.0356080532073975
19 	 -2.8538811206817627
20 	 -3.3090507984161377
