Rank 	 Pose Confidence

1 	 0.8448832035064697
2 	 0.5045680999755859
3 	 0.40264907479286194
4 	 0.3778793513774872
5 	 0.35213223099708557
6 	 0.33298540115356445
7 	 0.33103010058403015
8 	 0.33001619577407837
9 	 0.32339686155319214
10 	 0.309796005487442
11 	 0.2986433207988739
12 	 0.2743917405605316
13 	 0.09157078713178635
14 	 -0.016514629125595093
15 	 -0.46201756596565247
16 	 -0.49882972240448
17 	 -0.6238752007484436
18 	 -1.6091748476028442
19 	 -1.9231191873550415
20 	 -4.157655239105225
