Rank 	 Pose Confidence

1 	 0.15997961163520813
2 	 0.009768344461917877
3 	 0.0019654110074043274
4 	 -0.03972975164651871
5 	 -0.10974940657615662
6 	 -0.158591628074646
7 	 -0.1612304151058197
8 	 -0.17471393942832947
9 	 -0.28813666105270386
10 	 -0.6668920516967773
11 	 -0.6714428067207336
12 	 -0.7236608862876892
13 	 -0.7267454266548157
14 	 -0.7541268467903137
15 	 -0.778631865978241
16 	 -0.8460693955421448
17 	 -1.0781904458999634
18 	 -1.1419353485107422
19 	 -1.23814857006073
20 	 -1.6085697412490845
