Rank 	 Pose Confidence

1 	 0.5322878956794739
2 	 0.41194117069244385
3 	 0.3726111054420471
4 	 0.28088173270225525
5 	 0.2552143931388855
6 	 0.07899809628725052
7 	 0.02227141708135605
8 	 -0.09168559312820435
9 	 -0.20933634042739868
10 	 -0.2451496422290802
11 	 -0.408200204372406
12 	 -0.8613168597221375
13 	 -0.9834153056144714
14 	 -1.4234780073165894
15 	 -1.4844533205032349
16 	 -1.4954614639282227
17 	 -1.7952682971954346
18 	 -2.4407122135162354
19 	 -2.801790952682495
20 	 -2.8121306896209717
