Rank 	 Pose Confidence

1 	 0.9033703207969666
2 	 0.679405152797699
3 	 0.627607524394989
4 	 0.6153941750526428
5 	 0.5317428112030029
6 	 0.48963406682014465
7 	 0.36464017629623413
8 	 0.3579856753349304
9 	 0.3515484631061554
10 	 0.2411971390247345
11 	 0.16437914967536926
12 	 -0.07969121634960175
13 	 -0.13476955890655518
14 	 -0.6033830046653748
15 	 -0.6771566271781921
16 	 -0.8270881175994873
17 	 -0.9870358109474182
18 	 -1.0572069883346558
19 	 -1.1527224779129028
20 	 -1.1702947616577148
