Rank 	 Pose Confidence

1 	 0.4522586166858673
2 	 0.42193105816841125
3 	 0.4112021327018738
4 	 0.3567621409893036
5 	 0.35292261838912964
6 	 0.3413209617137909
7 	 0.33294111490249634
8 	 0.3085666596889496
9 	 0.3082934319972992
10 	 0.2839545011520386
11 	 0.2786027491092682
12 	 0.22511783242225647
13 	 0.16118913888931274
14 	 0.10364647954702377
15 	 -0.012495510280132294
16 	 -0.06444139033555984
17 	 -0.07161509245634079
18 	 -0.1203269511461258
19 	 -0.41476574540138245
20 	 -0.5068099498748779
