Rank 	 Pose Confidence

1 	 0.839298665523529
2 	 0.7243258953094482
3 	 0.7158265709877014
4 	 0.6031417846679688
5 	 0.40656325221061707
6 	 0.3609287142753601
7 	 0.0870799794793129
8 	 -0.06464342772960663
9 	 -0.15643569827079773
10 	 -0.16745907068252563
11 	 -0.2041969895362854
12 	 -0.24884402751922607
13 	 -0.3082130551338196
14 	 -0.3335113227367401
15 	 -0.37082645297050476
16 	 -0.39546316862106323
17 	 -0.5645008683204651
18 	 -0.5934931635856628
19 	 -0.6386898159980774
20 	 -0.8220606446266174
