Rank 	 Pose Confidence

1 	 0.8482725620269775
2 	 0.7699623107910156
3 	 0.6944606304168701
4 	 0.644295871257782
5 	 0.5518752932548523
6 	 0.5332554578781128
7 	 0.4970077574253082
8 	 0.4365755021572113
9 	 0.43183520436286926
10 	 0.41887760162353516
11 	 0.39979174733161926
12 	 0.3003752529621124
13 	 0.013033159077167511
14 	 -0.11872519552707672
15 	 -0.3799571096897125
16 	 -0.8692618608474731
17 	 -2.134857654571533
18 	 -2.148638963699341
19 	 -2.4032163619995117
20 	 -2.601177215576172
