Rank 	 Pose Confidence

1 	 0.8825281262397766
2 	 0.7118365168571472
3 	 0.6460146903991699
4 	 0.2163321077823639
5 	 0.17111432552337646
6 	 0.1482250690460205
7 	 -0.2481347620487213
8 	 -0.28988638520240784
9 	 -0.3907136619091034
10 	 -0.4664919972419739
11 	 -0.4867076873779297
12 	 -0.49568819999694824
13 	 -0.5299120545387268
14 	 -0.6822642683982849
15 	 -0.709137499332428
16 	 -0.7344757318496704
17 	 -1.1434913873672485
18 	 -1.2570452690124512
19 	 -1.5035382509231567
20 	 -1.6969677209854126
