Rank 	 Pose Confidence

1 	 0.8229561448097229
2 	 0.7469543218612671
3 	 0.7111466526985168
4 	 0.6282026767730713
5 	 0.6268312335014343
6 	 0.5795270800590515
7 	 0.5373740792274475
8 	 0.5035563111305237
9 	 0.499759703874588
10 	 0.08097999542951584
11 	 -0.2588489353656769
12 	 -0.2990880012512207
13 	 -0.3293286859989166
14 	 -0.34131568670272827
15 	 -0.496119886636734
16 	 -0.7856442332267761
17 	 -0.836191713809967
18 	 -0.8587527871131897
19 	 -1.0879532098770142
20 	 -1.2291499376296997
