Rank 	 Pose Confidence

1 	 0.483347624540329
2 	 0.45939603447914124
3 	 -0.0987781435251236
4 	 -0.10019426047801971
5 	 -0.12236758321523666
6 	 -0.15364119410514832
7 	 -0.18189987540245056
8 	 -0.3809167742729187
9 	 -0.46429112553596497
10 	 -0.5692529678344727
11 	 -0.7088503241539001
12 	 -0.7407107353210449
13 	 -0.7450265288352966
14 	 -0.7892225980758667
15 	 -0.8489068150520325
16 	 -0.9449784159660339
17 	 -1.061384916305542
18 	 -1.1077961921691895
19 	 -1.5971267223358154
20 	 -1.9747639894485474
