Rank 	 Pose Confidence

1 	 0.2935608923435211
2 	 0.17592748999595642
3 	 0.13506335020065308
4 	 0.051964856684207916
5 	 0.019380874931812286
6 	 0.018452562391757965
7 	 -0.00671105831861496
8 	 -0.021338842809200287
9 	 -0.024144314229488373
10 	 -0.04233893007040024
11 	 -0.05632203817367554
12 	 -0.10884229093790054
13 	 -0.15801826119422913
14 	 -0.18915918469429016
15 	 -0.33543017506599426
16 	 -0.3407111167907715
17 	 -0.3729303181171417
18 	 -0.5082082748413086
19 	 -0.6271447539329529
20 	 -0.763494610786438
