Rank 	 Pose Confidence

1 	 0.8239103555679321
2 	 0.8172136545181274
3 	 0.7927753329277039
4 	 0.7524400353431702
5 	 0.683810293674469
6 	 0.20773717761039734
7 	 0.04302985221147537
8 	 -0.017825841903686523
9 	 -0.10496611893177032
10 	 -0.2568712830543518
11 	 -0.39919450879096985
12 	 -0.4935971200466156
13 	 -0.533179521560669
14 	 -0.5391126275062561
15 	 -0.5725084543228149
16 	 -0.6383598446846008
17 	 -0.6635497808456421
18 	 -0.7748149633407593
19 	 -0.7814501523971558
20 	 -1.1596571207046509
