Rank 	 Pose Confidence

1 	 0.8225593566894531
2 	 0.6434893608093262
3 	 0.5413985252380371
4 	 0.4146025776863098
5 	 0.4014560580253601
6 	 0.3416862487792969
7 	 0.2993592619895935
8 	 0.1277208924293518
9 	 0.09849081188440323
10 	 0.06432998925447464
11 	 -0.19495722651481628
12 	 -0.24732810258865356
13 	 -0.2570249140262604
14 	 -0.3076012432575226
15 	 -0.3244275748729706
16 	 -0.5414794087409973
17 	 -0.5652385950088501
18 	 -0.8292966485023499
19 	 -0.9544597864151001
20 	 -1.258583426475525
