Rank 	 Pose Confidence

1 	 0.11011312156915665
2 	 -0.05551064759492874
3 	 -0.10096501559019089
4 	 -0.19311001896858215
5 	 -0.2063148319721222
6 	 -0.23970761895179749
7 	 -0.3374698758125305
8 	 -0.427641361951828
9 	 -0.47770509123802185
10 	 -0.6207554340362549
11 	 -0.645543098449707
12 	 -0.6671432256698608
13 	 -0.6910879015922546
14 	 -0.7109785676002502
15 	 -0.7568593621253967
16 	 -0.7907126545906067
17 	 -0.8172038197517395
18 	 -0.848458468914032
19 	 -1.3192130327224731
20 	 -1.5890330076217651
