Rank 	 Pose Confidence

1 	 0.1454521119594574
2 	 -0.05107323080301285
3 	 -0.05813611298799515
4 	 -0.1704598367214203
5 	 -0.18507060408592224
6 	 -0.2797996997833252
7 	 -0.28128594160079956
8 	 -0.316977858543396
9 	 -0.32458120584487915
10 	 -0.3465808928012848
11 	 -0.36727651953697205
12 	 -0.38003984093666077
13 	 -0.38737624883651733
14 	 -0.44632014632225037
15 	 -0.4475456178188324
16 	 -0.5146128535270691
17 	 -0.5264832973480225
18 	 -0.7031728625297546
19 	 -0.9147939682006836
20 	 -1.3182183504104614
