Rank 	 Pose Confidence

1 	 -0.06766059249639511
2 	 -0.08404302597045898
3 	 -0.105141781270504
4 	 -0.13002046942710876
5 	 -0.13664290308952332
6 	 -0.15649381279945374
7 	 -0.16486597061157227
8 	 -0.16970859467983246
9 	 -0.18975117802619934
10 	 -0.22489657998085022
11 	 -0.23217511177062988
12 	 -0.23946723341941833
13 	 -0.2841564118862152
14 	 -0.28802433609962463
15 	 -0.3096710443496704
16 	 -0.3422621190547943
17 	 -0.3789232671260834
18 	 -0.4726841449737549
19 	 -0.5012269616127014
20 	 -0.6224152445793152
